state,income_bracket,distress_pct
New Mexico,$100k-$150k,10.8
New York,<$25k,23.36
New York,$25k-$50k,17.66
New York,$50k-$75k,15.2
New York,$75k-$100k,15.2
New York,$100k-$150k,10.7
New York,$150k+,8.8
North Carolina,<$25k,29.73
North Carolina,$25k-$50k,18.22
North Carolina,$50k-$75k,9.9
North Carolina,$75k-$100k,9.9
North Carolina,$100k-$150k,9.2
North Carolina,$150k+,9.6
North Dakota,<$25k,23.04
North Dakota,$25k-$50k,16.58
North Dakota,$50k-$75k,12.3
North Dakota,$75k-$100k,12.3
North Dakota,$100k-$150k,10.3
Ohio,<$25k,32.52
Ohio,$25k-$50k,22.25
Ohio,$50k-$75k,14.8
Ohio,$75k-$100k,14.8
Ohio,$100k-$150k,11.0
Ohio,$150k+,11.0
Oklahoma,<$25k,31.53
Oklahoma,$25k-$50k,22.14
Oklahoma,$50k-$75k,14.1
Oklahoma,$75k-$100k,14.1
Oklahoma,$100k-$150k,9.5
Oregon,<$25k,27.58
Oregon,$25k-$50k,20.5
Oregon,$50k-$75k,15.7
Oregon,$75k-$100k,15.7
Oregon,$100k-$150k,13.3
Oregon,$150k+,9.1
Pennsylvania,<$25k,20.29
Pennsylvania,$25k-$50k,16.37
Pennsylvania,$50k-$75k,13.9
Pennsylvania,$75k-$100k,13.9
Pennsylvania,$100k-$150k,15.1
Rhode Island,<$25k,25.52
Rhode Island,$25k-$50k,16.5
Rhode Island,$50k-$75k,14.0
Rhode Island,$75k-$100k,14.0
Rhode Island,$100k-$150k,9.4
Rhode Island,$150k+,10.6
South Carolina,<$25k,23.73
South Carolina,$25k-$50k,19.1
South Carolina,$50k-$75k,13.3
South Carolina,$75k-$100k,13.3
South Carolina,$100k-$150k,9.3
South Carolina,$150k+,8.0
South Dakota,<$25k,21.14
South Dakota,$25k-$50k,18.76
South Dakota,$50k-$75k,10.2
South Dakota,$75k-$100k,10.2
South Dakota,$100k-$150k,6.7
Tennessee,<$25k,29.84
Tennessee,$25k-$50k,21.64
Tennessee,$50k-$75k,18.7
Tennessee,$75k-$100k,18.7
Tennessee,$100k-$150k,13.4
Texas,<$25k,24.78
Texas,$25k-$50k,23.26
Texas,$50k-$75k,14.2
Texas,$75k-$100k,14.2
Texas,$100k-$150k,10.1
Texas,$150k+,7.7
Utah,<$25k,27.4
Utah,$25k-$50k,20.77
Utah,$50k-$75k,17.0
Utah,$75k-$100k,17.0
Utah,$100k-$150k,12.4
Utah,$150k+,9.3
Vermont,<$25k,26.41
Vermont,$25k-$50k,19.62
Vermont,$50k-$75k,14.4
Vermont,$75k-$100k,14.4
Vermont,$100k-$150k,11.7
Virginia,<$25k,24.91
Virginia,$25k-$50k,20.14
